"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"F",NA,0.525,0.205,1.3665,0.5005,0.291,0.41,18
"F",0.635,0.505,0.17,1.415,0.605,0.297,0.365,NA
"M",0.655,NA,NA,1.2635,0.486,0.2635,0.415,15
"F",0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
"M",0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
"F",0.655,0.545,0.185,1.759,0.6865,0.313,0.547,NA
"F",0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
"I",0.6,NA,0.15,1.12,NA,0.2465,0.27,10
"M",NA,0.405,0.16,0.792,0.316,NA,0.28,13
"F",0.635,0.49,0.155,1.145,0.4775,0.3035,NA,NA
"M",0.565,0.435,0.15,0.99,0.5795,NA,0.206,8
"I",0.565,NA,0.175,0.8735,NA,0.21,0.21,11
"F",NA,0.44,0.15,0.8945,0.3145,0.151,0.32,19
"F",0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
"M",0.55,0.385,NA,0.7275,0.343,NA,0.19,8
"M",0.59,0.47,0.135,1.1685,0.539,NA,0.28,8
"F",NA,0.285,0.105,0.27,0.1125,0.0585,0.0835,NA
"I",0.37,0.29,0.09,NA,0.089,NA,NA,7
"I",NA,0.34,0.12,0.396,NA,0.081,0.125,8
"I",0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
"F",NA,0.475,0.16,1.1155,NA,0.223,0.379,10
"I",0.19,0.13,NA,0.0265,0.009,NA,0.009,5
"M",0.64,0.5,0.17,1.4545,0.642,NA,0.354,9
"F",0.5,NA,0.125,0.6675,0.261,0.1315,0.22,10
"F",NA,0.425,0.125,0.768,0.294,0.1495,0.26,NA
"F",0.525,NA,0.16,0.658,0.2655,0.1125,0.225,12
"F",0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
"F",0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,NA
"I",0.255,0.19,0.07,NA,0.028,0.016,0.031,5
"F",0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
"I",0.48,0.38,NA,0.6245,0.3395,0.1085,0.1665,8
"I",0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
"I",0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,NA
"F",0.685,0.525,0.175,1.71,NA,0.309,0.58,16
"F",0.58,0.5,0.165,NA,0.37,0.185,0.3005,10
"I",0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
"F",0.74,NA,0.205,2.119,0.9655,0.5185,0.482,12
"I",0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10
"M",0.7,NA,0.175,1.8565,0.8445,0.3935,0.54,10
"I",0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,NA
"I",0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
"F",0.63,NA,0.15,1.172,NA,0.254,0.316,NA
"M",0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
"M",0.575,0.475,NA,1.114,0.4955,0.2745,NA,9
"M",0.575,NA,0.17,1.0225,0.549,0.2175,0.228,9
"F",0.675,0.535,0.16,1.41,0.592,0.3175,NA,16
"F",0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
"M",0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
"I",0.54,0.425,0.14,0.742,NA,0.1395,0.25,9
"M",0.59,0.47,NA,0.861,0.413,0.164,NA,8
"F",0.585,0.46,0.15,1.0035,0.503,NA,0.2515,11
"I",NA,0.33,0.12,NA,0.12,0.084,0.105,NA
"I",0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
"M",0.615,NA,NA,1.2865,0.435,0.293,0.3245,11
"I",0.57,0.42,0.13,0.7745,0.3535,NA,0.2365,9
"F",0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
"F",0.695,0.56,0.22,1.834,NA,0.422,0.455,11
"F",0.6,0.46,NA,0.9735,0.427,0.2045,0.3,8
"I",0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
"M",0.565,NA,0.125,NA,0.352,0.13,0.1685,11
"F",NA,0.55,0.205,NA,0.5415,NA,0.5965,NA
"I",0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
"M",0.555,0.44,0.15,NA,0.4155,0.146,0.23,8
"F",0.625,0.515,0.18,NA,NA,0.252,0.3925,14
"I",NA,0.45,0.125,0.78,0.3275,0.188,0.235,9
"F",0.49,0.38,0.13,0.539,0.229,0.1355,0.165,12
"M",0.47,0.37,0.18,0.51,0.1915,NA,0.1625,NA
"F",0.67,NA,0.225,1.5615,0.63,0.487,0.3725,11
"F",0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10
"F",0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12
"M",0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
"F",0.49,0.4,0.115,0.569,0.256,0.1325,0.145,NA
"M",0.565,0.425,0.16,0.9425,0.3495,NA,0.275,17
"F",0.55,0.415,NA,0.7635,0.318,0.21,0.2,9
"I",0.4,0.305,0.1,0.3415,NA,0.0625,0.0865,7
"I",0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
"F",0.67,NA,0.16,NA,0.5985,0.2565,0.495,15
"F",0.69,0.54,0.195,1.2525,NA,0.3975,0.462,12
"I",0.415,NA,0.1,0.358,0.169,NA,0.105,7
"F",NA,0.495,0.195,1.297,0.556,0.2985,NA,11
"M",0.565,0.445,0.15,0.796,0.3635,NA,0.219,NA
"F",0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
"F",NA,0.385,NA,0.7655,0.3265,0.116,0.2365,NA
"M",NA,0.505,NA,1.0915,0.4615,NA,0.3,NA
"F",0.585,NA,0.16,1.077,0.4995,0.2875,0.25,10
"F",0.565,NA,NA,0.795,0.3605,0.1555,0.23,NA
"I",0.575,0.445,NA,0.8015,0.3475,NA,0.25,9
"F",NA,NA,0.125,0.4785,NA,0.1045,0.141,8
"M",0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
"M",0.64,NA,0.165,NA,0.6145,0.3035,NA,18
"I",NA,0.31,0.105,0.365,NA,0.0825,NA,6
"F",0.47,0.375,NA,0.5615,NA,NA,0.18,10
"M",0.565,0.45,0.14,1.0055,0.3785,NA,0.265,12
"M",0.52,0.385,NA,0.791,NA,0.18,0.1815,10
"M",0.64,0.565,0.23,1.521,0.644,NA,0.406,15
"F",0.45,0.35,NA,0.5425,0.1765,0.123,NA,NA
"I",NA,0.185,0.065,0.0685,0.0295,NA,0.0225,5
"F",0.63,0.485,NA,1.2435,0.4635,0.3055,0.39,21
"F",0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15
"I",NA,0.3,0.105,0.304,0.1455,0.061,0.0805,NA
"I",0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
"M",0.655,0.535,0.205,NA,NA,0.3595,0.46,13
"F",NA,0.57,0.185,1.761,0.747,0.3725,0.488,10
"I",0.51,NA,0.115,0.5155,0.215,0.1135,NA,NA
"F",0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
"I",NA,NA,0.155,NA,0.447,0.171,0.284,11
"F",NA,0.445,0.125,0.8725,0.417,0.199,0.24,8
"M",0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
"I",0.21,0.15,0.055,0.0455,0.02,NA,0.013,4
"F",0.605,NA,0.14,0.991,NA,0.2345,0.24,8
"M",0.405,0.305,0.085,0.2605,0.1145,NA,0.085,8
"F",NA,0.44,0.15,0.9475,0.366,0.239,NA,8
"M",0.455,0.345,0.15,0.5795,NA,0.125,0.215,13
"I",0.415,NA,0.1,NA,0.139,0.0625,0.0965,7
"M",0.5,0.385,0.145,0.7615,0.246,0.195,0.204,NA
"F",0.625,0.475,0.13,0.8595,0.3195,NA,0.24,13
"M",0.58,NA,0.165,1.041,0.54,0.166,0.279,9
"I",0.605,0.495,0.145,NA,0.369,0.2255,0.36,12
"I",NA,0.37,0.125,0.433,NA,NA,0.145,9
"M",0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
"I",NA,0.425,0.145,NA,0.4325,0.171,0.236,10
"I",0.385,0.285,NA,0.244,0.1215,0.0445,0.068,NA
"M",0.62,0.51,0.175,1.1505,NA,0.2265,0.4,12
"I",0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,NA
"I",0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
"I",0.29,NA,0.07,0.101,0.036,0.0235,NA,NA
"M",0.65,0.51,0.175,1.446,0.6485,0.2705,NA,12
"M",0.46,0.345,NA,0.4595,0.235,0.0885,0.116,7
"F",0.49,0.38,NA,0.578,0.2395,NA,NA,9
"F",NA,0.485,NA,1.2945,NA,0.2605,0.2715,9
"F",0.485,0.38,0.15,0.605,NA,0.14,0.18,15
"M",0.73,NA,0.21,2.069,NA,0.409,0.643,11
"I",0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,NA
"M",0.63,NA,0.145,1.1005,0.52,0.26,0.276,NA
"F",0.62,NA,NA,1.166,0.483,0.238,NA,13
"I",0.43,0.32,0.1,NA,0.192,0.0745,0.1,NA
"M",0.58,0.45,0.15,NA,0.276,0.1815,0.36,14
"I",0.475,0.365,0.115,0.499,NA,NA,0.156,10
"M",0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11
"M",0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,NA
"M",0.495,0.38,NA,NA,NA,0.1425,0.215,12
"F",NA,0.485,0.19,1.3765,0.634,0.2885,0.406,11
"M",0.585,NA,NA,1.171,0.3905,0.2355,0.4,17
"M",0.615,0.48,0.18,1.1595,0.4845,NA,0.325,NA
"I",0.42,NA,0.1,0.2865,0.115,0.0735,0.085,8
"I",0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
"F",0.655,NA,0.165,1.2835,0.583,0.1255,NA,NA
"I",0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
"M",0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
"I",0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6
"M",0.665,NA,0.225,2.1835,0.7535,0.391,0.885,27
"I",0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,NA
"I",0.27,NA,0.07,0.102,0.045,0.0135,0.034,8
"I",0.55,NA,0.135,0.7305,0.3325,0.1545,0.215,9
"M",0.645,0.51,0.16,1.1835,NA,0.2385,NA,NA
"I",0.425,0.315,NA,0.303,NA,0.0585,0.095,NA
"M",0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
"I",0.43,0.33,0.1,0.449,0.254,NA,0.097,6
"F",0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
"M",0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
"I",0.395,0.295,NA,0.3025,0.143,0.0665,0.0765,5
"M",0.28,0.205,0.1,0.1165,NA,0.0285,NA,5
"I",0.52,0.395,0.115,0.6445,NA,0.1245,0.186,11
"I",0.535,0.385,0.18,NA,NA,0.2295,0.304,8
"I",0.35,NA,0.075,0.215,0.1,NA,NA,6
"F",0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15
"F",NA,0.46,0.18,1.0515,0.4095,0.2595,NA,8
"M",NA,0.2,NA,0.084,NA,NA,0.03,7
"M",0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
"M",0.61,0.475,0.175,1.024,0.409,0.261,0.322,9
"I",0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
"I",0.33,NA,0.105,0.1715,0.0655,0.035,0.06,7
"F",NA,0.49,0.165,1.127,0.477,0.2365,0.3185,NA
"F",0.59,0.45,0.16,0.9,0.358,0.156,NA,19
"M",0.59,NA,0.14,1.046,0.4695,0.263,0.263,7
"I",0.38,0.28,0.095,0.2885,0.165,NA,0.067,7
"F",0.55,0.465,0.18,1.2125,0.3245,NA,0.525,NA
"M",NA,0.475,0.15,1.065,0.5315,0.199,0.2885,10
"F",0.705,NA,0.205,2.381,0.9915,0.5005,0.624,NA
"F",NA,0.35,0.14,0.5725,0.1965,0.1325,0.175,10
"F",NA,0.5,0.175,1.3275,0.556,0.2805,0.4085,NA
"M",0.57,0.42,0.14,0.8745,0.416,0.165,0.25,8
"M",0.47,0.375,0.115,0.4265,0.1685,0.0755,NA,NA
"M",0.66,0.51,0.18,1.261,0.5,0.2335,0.339,NA
"M",0.66,0.505,0.165,1.374,0.589,0.351,NA,10
"I",NA,NA,0.125,0.426,0.163,0.0965,0.151,8
"I",0.38,NA,0.095,0.2425,NA,0.0485,0.21,6
"F",NA,0.325,0.105,NA,0.159,0.077,0.12,10
"I",0.575,NA,0.13,0.7425,0.2895,NA,0.22,8
"M",0.695,0.56,0.19,NA,0.588,0.3425,NA,NA
"I",0.545,NA,0.13,0.658,0.327,NA,0.174,8
"M",0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
"M",0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
"F",0.545,NA,0.175,0.8525,0.3465,0.189,0.295,13
"I",0.465,0.36,0.105,0.452,0.22,NA,0.1035,9
"M",0.485,0.41,0.15,NA,0.2405,0.1625,0.265,13
"M",0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,NA
"M",0.565,NA,0.185,0.9265,0.354,0.1575,0.375,16
"I",0.27,NA,0.07,0.1,0.034,0.0245,0.035,5
"M",0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
"F",NA,0.565,NA,1.613,0.723,NA,NA,12
"I",0.285,0.215,0.06,NA,NA,0.023,0.03,6
"M",0.735,NA,0.205,2.087,NA,0.474,0.625,12
"M",0.45,0.355,0.115,0.479,0.2125,NA,NA,8
"F",NA,0.48,0.23,1.0935,0.403,0.245,0.355,14
"M",NA,0.45,0.12,0.7485,NA,0.1315,0.22,14
"F",0.54,NA,0.14,NA,NA,0.1805,NA,9
"M",NA,0.52,NA,1.4105,0.691,0.322,0.3465,10
"I",NA,0.365,0.14,NA,0.1895,0.0925,NA,8
"F",NA,0.38,0.135,0.6855,0.361,NA,0.161,9
"M",NA,0.48,0.19,1.467,0.5825,0.303,0.42,15
"M",0.525,0.4,NA,0.622,0.2655,0.147,0.184,9
"I",0.405,0.3,0.12,NA,0.1265,0.07,NA,7
"I",0.44,0.33,0.135,NA,0.17,NA,0.195,16
"M",0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
"F",0.555,0.425,0.14,0.788,0.282,0.1595,0.285,NA
"M",0.75,0.55,NA,1.893,0.942,NA,0.445,11
"I",0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
"I",0.405,NA,NA,NA,0.1605,0.0785,0.1,9
"I",0.58,0.445,0.15,NA,0.383,0.209,0.255,11
"I",0.365,NA,0.085,0.223,0.098,0.0375,0.075,7
"I",0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
"I",0.49,0.38,0.12,0.529,0.2165,0.139,0.155,NA
"F",0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
"F",0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
"M",0.695,0.53,NA,1.726,0.7625,0.436,0.455,11
"M",0.52,0.38,NA,0.5825,NA,NA,NA,NA
"I",0.475,NA,0.1,0.4425,0.1895,0.086,0.135,NA
"I",0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
"M",0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
"I",0.655,0.515,0.145,1.25,0.5265,0.283,NA,NA
"I",0.3,NA,0.08,0.1255,0.055,0.0265,0.039,6
"I",0.315,0.235,0.075,0.1485,0.0585,NA,0.0425,6
"F",0.515,0.395,NA,0.686,0.281,NA,0.22,NA
"F",0.545,0.44,0.135,NA,0.429,NA,0.2375,10
"F",0.615,0.495,NA,1.198,0.5415,0.2865,0.3185,10
"F",0.565,0.455,NA,0.8205,0.365,0.159,0.26,18
"I",0.425,0.32,0.1,0.3055,NA,0.06,0.106,7
"M",0.6,0.46,NA,0.9595,0.4455,0.189,0.295,11
"F",0.445,0.335,0.14,0.4565,0.1785,0.114,NA,11
"I",0.52,0.415,0.14,0.6375,NA,0.1335,NA,9
"M",0.63,0.505,0.15,1.3165,NA,0.2465,0.37,11
"F",0.6,0.5,0.17,1.13,0.4405,0.267,0.335,NA
"F",0.425,0.325,0.135,0.382,0.1465,0.079,0.14,NA
"F",0.45,0.345,0.12,0.4165,0.1655,0.095,NA,9
"M",0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
"I",0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8
"I",0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
"F",0.645,0.5,0.15,1.159,NA,0.3355,0.31,9
"I",0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
"F",0.64,0.54,NA,1.221,0.51,NA,0.39,15
"F",0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
"I",0.375,0.28,0.08,0.2235,0.115,0.043,0.055,NA
"I",0.46,0.35,0.11,0.4,NA,NA,0.1205,7
"M",0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,NA
"I",0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6
"I",0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
"I",0.46,0.37,NA,0.5335,0.2645,NA,0.1345,NA
"F",0.61,0.45,NA,NA,0.389,0.1715,0.272,NA
"M",0.53,NA,0.13,0.7455,0.2995,0.1355,0.245,10
"I",0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
"F",NA,NA,0.145,0.829,NA,0.1685,0.205,15
"F",0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16
"M",0.67,NA,0.18,1.68,0.926,0.2975,0.3935,13
"I",0.375,NA,0.08,0.226,0.105,0.047,0.065,6
"I",0.43,0.34,0.125,0.384,0.1375,NA,0.146,14
"I",0.425,0.345,0.125,NA,0.16,NA,0.154,13
"F",NA,0.5,0.17,1.1845,0.4805,0.274,0.355,13
"F",0.7,NA,NA,1.666,NA,0.4285,0.455,11
"F",0.48,NA,0.135,0.6395,0.2945,0.113,0.175,8
"I",0.32,0.255,NA,0.1745,0.072,0.033,0.057,8
"M",0.43,0.33,NA,0.34,0.1315,0.085,0.112,14
"I",0.475,NA,0.115,0.5205,0.233,0.119,0.1455,7
"I",NA,0.47,0.17,0.985,NA,0.2395,0.315,10
"M",0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14
"F",0.615,0.525,NA,1.0385,0.427,NA,0.345,11
"I",0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12
"F",0.585,0.46,0.165,1.058,0.486,0.25,NA,9
"M",NA,NA,0.165,0.9165,0.4135,NA,0.2725,9
"I",0.44,0.325,NA,0.35,0.148,0.067,0.105,7
"M",0.635,0.515,0.16,1.2075,NA,0.282,0.345,11
"M",0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
"F",0.58,NA,0.17,1.48,0.6535,NA,0.4155,10
"F",0.575,0.445,0.14,NA,0.3845,0.252,0.285,9
"I",0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,NA
"I",NA,NA,0.155,NA,0.3685,0.178,0.235,11
"I",0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
"I",0.465,0.325,0.14,0.7615,NA,0.1535,0.209,10
"I",0.575,NA,0.16,0.9175,NA,0.1935,0.24,9
"M",0.69,NA,NA,1.777,0.769,0.38,0.4305,NA
"I",0.59,0.45,0.125,0.86,0.437,NA,0.245,9
"F",NA,0.465,NA,NA,0.4835,0.2515,0.28,10
"I",0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
"I",0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7
"F",0.38,0.305,NA,0.2815,0.1255,0.0525,0.09,8
"I",0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
"F",0.515,0.4,0.115,0.578,0.191,0.1445,0.17,NA
"M",0.515,0.395,0.12,0.646,NA,NA,0.172,NA
"I",0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10
"I",0.575,0.425,0.135,NA,0.364,NA,0.239,10
"I",0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
"M",NA,0.405,0.13,0.738,0.2845,0.17,0.193,NA
"F",NA,0.275,0.065,0.205,0.0745,NA,0.07,NA
"I",0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
"I",0.475,0.35,0.115,0.498,0.2375,0.099,NA,7
"F",0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,NA
"M",0.565,0.435,NA,1.032,0.354,0.2045,0.31,20
"M",0.5,0.38,0.155,NA,NA,0.161,0.2,NA
"I",NA,0.235,0.08,0.131,0.05,0.0265,0.043,NA
"I",0.28,0.21,0.055,NA,0.0415,NA,0.031,5
"M",0.645,0.5,0.16,NA,0.672,0.326,0.315,9
"M",NA,0.435,0.18,NA,0.3835,0.226,0.325,17
"F",0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
"I",0.41,0.325,0.1,0.394,0.208,0.0655,0.106,NA
"M",0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10
"M",0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
"M",NA,NA,0.165,0.885,NA,0.1625,0.274,10
"I",0.305,0.23,0.075,0.1455,0.0595,NA,0.05,6
"I",0.285,0.215,0.07,0.1075,0.051,0.0225,NA,6
"M",0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
"I",0.46,0.365,0.11,0.4495,0.1755,NA,0.15,8
"M",0.545,0.42,0.125,0.9745,NA,0.174,0.305,NA
"F",0.6,0.505,0.19,1.129,0.4385,0.256,NA,13
"F",0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
"M",0.645,0.52,NA,1.636,0.779,0.342,0.432,11
"I",0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
"M",0.55,0.415,NA,1.042,0.3295,NA,NA,15
"I",0.45,0.34,NA,NA,0.21,0.0925,0.12,8
"F",0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
"F",NA,0.44,NA,1.018,0.447,0.207,0.265,9
"M",0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
"M",0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
"I",0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
"M",0.605,0.5,0.175,1.098,0.4765,NA,0.375,12
"M",0.62,NA,0.195,1.3585,0.5935,0.3365,0.3745,NA
"I",0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9
"F",0.615,0.5,0.205,1.1055,NA,0.227,0.39,16
"I",0.495,0.385,0.125,NA,0.2075,NA,0.172,10
"F",0.74,0.6,0.195,1.974,NA,NA,0.71,16
"M",NA,0.485,0.16,1.006,0.456,0.2245,0.2835,9
"F",0.62,0.485,NA,1.1945,NA,0.271,0.352,9
"M",0.485,0.385,0.105,NA,0.296,0.104,0.133,7
"F",0.505,0.385,0.135,0.6185,0.251,NA,0.2,12
"I",NA,0.3,0.11,0.315,0.109,0.067,0.12,9
"M",NA,0.41,NA,0.662,0.2815,0.137,0.22,11
"F",NA,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
"I",0.59,NA,0.145,0.974,0.453,0.236,NA,8
"I",0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
"F",0.555,0.405,0.12,NA,0.4585,0.196,0.2065,9
"M",NA,0.42,0.155,NA,NA,0.152,0.215,NA
"I",0.39,NA,0.105,NA,0.0955,0.038,0.085,8
"I",0.335,0.26,0.09,0.1835,0.078,0.024,0.065,11
"M",0.65,0.515,0.18,1.3315,NA,0.347,0.405,13
"M",0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
"F",0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
"M",0.625,0.455,0.17,1.082,0.4955,0.2345,NA,9
"F",0.59,0.455,NA,0.976,0.465,0.2055,0.2765,10
"F",0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
"M",0.615,0.505,NA,1.403,NA,0.2925,0.365,8
"F",NA,0.4,0.12,NA,0.347,0.1105,0.195,10
"I",0.365,NA,0.115,NA,0.0935,NA,0.07,NA
"I",0.495,NA,NA,NA,0.284,0.162,NA,11
"M",0.56,0.45,0.175,1.011,NA,0.2065,0.37,15
"F",0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
"M",0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
"I",NA,0.31,0.095,NA,0.1785,NA,0.0855,8
"I",0.55,0.435,NA,0.7995,0.295,0.1905,0.238,10
"M",0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,13
"M",0.48,0.395,NA,NA,0.2145,0.1405,0.2495,18
"I",0.24,0.185,0.07,NA,0.026,0.018,0.025,6
"I",0.49,NA,NA,0.5585,0.252,NA,0.1615,10
"M",NA,NA,0.075,0.106,0.0415,0.023,0.035,NA
"I",NA,0.4,0.11,0.597,0.2935,0.1155,0.16,8
"M",0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,NA
"M",0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
"M",0.425,0.33,0.13,0.4405,0.152,NA,0.155,9
"F",NA,0.475,0.155,0.974,0.4305,0.23,0.285,10
"M",0.49,0.38,0.14,NA,0.2305,0.142,0.195,13
"I",NA,0.365,0.125,NA,0.2135,0.0985,0.1315,8
"F",0.595,0.465,0.155,1.026,0.4645,NA,0.305,12
"F",0.485,NA,0.145,0.5885,0.2385,0.1155,0.19,13
"I",0.56,0.425,0.145,0.688,NA,0.1305,0.2165,9
"M",NA,0.45,NA,0.874,0.369,NA,NA,8
"F",0.635,0.49,0.17,1.2615,NA,0.2665,0.38,9
"I",0.39,0.285,0.1,0.281,0.1275,0.062,0.077,NA
"I",NA,0.29,0.095,0.2875,NA,NA,0.08,6
"I",0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
"F",0.615,NA,0.15,1.0265,0.4935,0.201,0.2745,10
"I",0.29,NA,0.06,0.1195,0.056,0.0235,0.03,6
"M",0.31,0.245,NA,0.15,0.0525,0.034,0.048,7
"F",0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
"M",0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
"I",0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,NA
"F",0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
"I",NA,0.29,0.1,0.2675,NA,0.0605,0.0765,5
"I",0.495,0.375,0.12,NA,0.2855,0.1365,NA,8
"M",0.58,0.43,NA,0.798,0.365,0.173,0.2285,10
"I",0.47,0.345,NA,0.3685,0.1525,0.0615,0.125,NA
"I",0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
"F",0.45,0.35,0.125,0.4435,0.185,0.09,NA,11
"I",0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,NA
"M",0.65,0.525,0.205,NA,0.69,NA,0.4355,13
"F",0.55,0.43,0.14,0.8105,NA,0.161,0.275,9
"F",NA,0.51,0.2,1.3905,0.61,0.3315,0.41,12
"M",NA,0.47,NA,0.8375,0.3485,NA,0.24,11
"F",0.64,0.475,NA,1.151,0.4365,0.281,0.3805,13
"F",0.505,0.39,NA,0.644,0.2475,0.2025,NA,NA
"M",0.615,0.45,NA,1.198,0.707,0.2095,0.2505,7
"F",0.595,0.45,NA,1.081,0.49,0.2525,0.279,12
"I",NA,0.335,0.105,NA,0.156,0.05,0.1135,7
"M",0.575,0.4,NA,NA,0.3605,0.2445,0.3,NA
"I",0.47,0.355,NA,0.393,NA,0.0885,0.115,8
"F",0.4,0.3,0.115,0.3025,NA,0.0465,0.0935,8
"F",0.7,0.525,0.19,1.6465,0.8545,NA,0.3995,9
"I",0.315,0.23,0.09,0.1285,0.043,0.04,0.04,NA
